year,number_trucks,hours,cost,description,animal_group,property_category,special_service_type_category,borough
2017,1,1,326,CAT TRAPPED IN CUPBOARD,Cat,Dwelling,Other animal assistance,LAMBETH
2017,1,1,326,DOG WITH HEAD STUCK BETWEEN WALL AND METAL GATE   OWNER ON SCENE,Dog,Outdoor Structure,Other animal assistance,EALING
2017,1,1,326,CAT TRAPPED IN A SIX FOOT DROP,Cat,Dwelling,Animal rescue from height,HAMMERSMITH AND FULHAM
2017,1,1,326,KITTEN STUCK ON WIRE ON FENCE    RVP OUTSIDE SECURITY GATE  AND  CALLER WILL DIRECT YOU TO INCIDENT,Cat,Dwelling,Animal rescue from height,CAMDEN
2017,1,1,326,CAT TRAPPED IN WALL,Cat,Dwelling,Other animal assistance,BARNET
2017,1,1,326,CAT POSSIBLY TRAPPED ON ROOF CALLER STATES CAT SOUNDS DISTRESSED,Cat,Dwelling,Animal rescue from height,NEWHAM
2017,1,1,326,PIGEON TRAPPED IN NETTING,Bird,Non Residential,Animal rescue from height,WESTMINSTER
2017,1,1,326,CAT STUCK IN WATERPIPE,Cat,Dwelling,Other animal assistance,WALTHAM FOREST
2017,1,3,978,CAT TRAPPED BEHIND PIPE - REQUESTED BY RSPCA,Cat,Dwelling,Other animal assistance,BARKING AND DAGENHAM
2017,1,1,326,SWAN TRAPPED UNDER ROAD IN WATER   SWAN SANCTUARY ALREADY IN ATTENDANCE,Bird,Outdoor,Animal rescue from below ground,SUTTON
2017,1,2,652,CAT TRAPPED BETWEEN GARAGES,Cat,Non Residential,Other animal assistance,EALING
2017,1,1,326,KITTEN TRAPPED IN BRICKWORK  AS SIDE OF CHURCH RSPCA IN ATTENDANCE,Cat,Non Residential,Other animal assistance,NEWHAM
2017,1,1,326,KITTEN STUCK BEHIND WOOD,Cat,Dwelling,Animal rescue from height,GREENWICH
2017,1,2,652,CAT TRAPPED IN BETWEEN WALLS  CALLER WILL COME OUTSIDE TO MEET YOU,Cat,Dwelling,Other animal assistance,HACKNEY
